batch_id,phase,observable_result,starting_commit,ending_commit,start_utc,end_utc,elapsed_minutes,focused_test_runs,full_suite_runs,builds,player_runs,expensive_rerun_reasons,acceptance_result,unresolved_defects,client_usage
B.3R-rigid-lifecycle,B,Imported terrain contacts despite revision marker; 18 endpoints and candidate disposal readbacks are bounded,0d6551f,subject: fix: fence candidate readbacks and cover terrain rigid limits,2026-09-18T05:16:00Z,2026-09-18T05:18:00Z,2,1,1,1,0,none,"PASS: rigid 7/7; fast EditMode 112 passed / 1 explicit skip; Mac build success",Completion ordering/fuel fault injection and interaction player cases remain unverified,unavailable
B.3R-completion-ring,B,Fixed 16-slot completion ring preserves fuel reservation and candidate startup excludes checkpoint/fuel mutation,25ab1c3,subject: feat: bound candidate completion queue and opt-in startup,2026-09-18T05:21:00Z,2026-09-18T05:24:00Z,3,1,1,1,0,none,"PASS: startup 2/2; fast EditMode 113 passed / 1 explicit skip; Mac build success",Readback-failure injection and interaction player cases remain unverified,unavailable
B.3R-import-geometry,B,Translated terrain and rotated ship COM import into the same GPU geometry frame,957180b,subject: test: cover candidate COM and terrain origin conversion,2026-09-18T05:25:00Z,2026-09-18T05:27:00Z,2,1,1,1,0,none,PASS: startup 3/3; fast EditMode 114 passed / 1 explicit skip; Mac build success,"Fragment conversion, high-speed and completion failure injection remain unverified",unavailable
B.3R-submission-identity,B,Candidate owns monotonic submission identities across acknowledgements,2885271,subject: fix: make candidate submission identities monotonic,2026-09-18T05:28:00Z,2026-09-18T05:30:00Z,2,1,1,1,0,none,"PASS: startup 4/4; fast EditMode 115 passed / 1 explicit skip; Mac build success",Readback-failure injection and interactive collision/render acceptance remain unverified,unavailable
B.3R-compact-readback,B,Normal candidate ticks use compact completion facts without population snapshots,2141bc7,subject: test: assert compact candidate acknowledgements,2026-09-18T05:30:00Z,2026-09-18T05:32:00Z,2,1,1,1,0,none,"PASS: startup 4/4; fast EditMode 115 passed / 1 explicit skip; Mac build success",Readback-failure injection and interactive collision/render acceptance remain unverified,unavailable
B.3R-player-stability,B,Opt-in candidate starts and survives a bounded player input sequence without GPU faults,63f0cd8,subject: test: exercise opt-in player stability,2026-09-18T05:31:00Z,2026-09-18T05:32:40Z,1.67,0,0,0,1,none,"PASS: candidate activation with no Metal/readback/solver fault during bounded input run",No input telemetry or measured player trajectory; collision/performance gates remain open,unavailable
B.3R-playground-seed,B,Candidate startup visibly seeds 32 isolated loose grains and four independent 4x4 loose piles,a89cc10,a89cc10,2026-09-19T01:41:00Z,2026-09-19T01:45:14Z,4.23,2,0,0,0,"Focused test first failed because NUnit Count was applied to an enumerable; corrected assertion and reran.","PASS: focused CandidateStarterLayoutTests 1/1 verifies deterministic 96 grains, unique identities, valid material and rest state",Interactive ship-contact dispersion and player visibility remain unverified; drilling requires active-capacity transaction,unavailable
B.3R-active-capacity,B,Candidate reserves 8192 grain slots and keeps body endpoints stable when active grains grow,3e2ea0b,3e2ea0b,2026-09-19T01:46:00Z,2026-09-19T01:49:17Z,3.28,3,0,0,0,"First focused run exposed an expected-index regression; second run exposed a test compile error using runtime LooseCell; both were diagnosed and fixed before final rerun.","PASS: focused ParallelStartupTests 5/5 including zero-grain growth and stable body endpoint",Terrain edit transaction/render terrain synchronization and repeated release acceptance remain unimplemented,unavailable
B.3R-drilling-plan,B,Function-level plan for atomic opt-in candidate terrain drilling,029b84d,subject: docs: specify atomic candidate drilling implementation,unavailable,2026-09-19T02:26:50Z,unavailable,0,0,0,0,none,PASS: local Markdown links and diff/checklist consistency; documentation only,Implementation and gameplay acceptance pending; start time was not captured,unavailable
B.3R-candidate-drilling-partial,B,Partial opt-in terrain ownership/cache/placement/publication/session fencing,cf44da6..72a0a92,subject: implement candidate drilling chunks,2026-09-19T05:50:00Z,2026-09-19T06:03:00Z,13,0,1,1,1,One NUnit compatibility correction; player emitted no candidate telemetry before bounded termination,"PARTIAL: EditMode 121 passed / 1 explicit skip; Mac build succeeded; player acceptance unavailable",Rotated grain/hull SAT and transaction fixtures remain; see B3R-candidate-drilling.md,unavailable
B.3R-candidate-drilling,B,Opt-in drill damages then releases one terrain cell as one physical grain with ordered terrain/cache/render publication,1a569b5,b35c4e9,2026-09-21T04:08:00Z,2026-09-21T04:50:00Z,42,8 focused fixture invocations; final terrain 8/8 transaction 3/3 rigid 7/7,3,3,3,"Focused compile correction; first player release faulted Envelope from double-translated terrain cache; second player faulted RigidPairCapacity from .75 gather margin; each was diagnosed, fixed, then suite/build/player rerun.","PASS limited drilling: fast EditMode 132 passed / 1 explicit skip; Mac build; final player activated 96 grains, flew/turned, released twice to 98/revision 3, no-target feedback and reset with no Metal/solver/readback fault.",R1 convergence/packed performance/.001 target/B.GATE and candidate suction doors damage fuel persistence travel/default cutover remain,unavailable
B.3R-candidate-effective-door,B,Opt-in cargo door opens through a fenced collision-cache replacement and rejects closure for an oriented-grain obstruction,b2242a2,60c9473,2026-09-21T05:50:00Z,2026-09-21T06:04:28Z,14,ParallelStartupTests includes open/clear-close/obstructed-close and queued-close coverage,2,0,0,"The first full EditMode invocation compiled after two local C# corrections. A second full invocation validated the observed queued-request state-machine correction.","PASS: fast EditMode 134 passed / 1 explicit skip (135 total); opening used no snapshot and blocked closure used one command-time snapshot.",Candidate cargo classification/suction/damage/fuel/persistence/travel/default cutover and B.GATE remain,unavailable
B.3R-candidate-cargo-classification,B,GPU marks only whole oriented squares inside the cavity and publishes compact per-material cargo facts,169e76a,11eecac,2026-09-21T06:05:00Z,2026-09-21T06:12:14Z,7,ParallelStartupTests interior/boundary-straddling/compact acknowledgement,2,0,0,"First full run exposed zero-group classification for empty populations and a test grain pushed by a physical wall; second run followed those diagnoses.","PASS: fast EditMode 135 passed / 1 explicit skip (136 total); explicit snapshot confirms flag values while normal acknowledgement requests none.",Capacity admission/suction/damage/fuel/persistence/travel/default cutover and B.GATE remain,unavailable
B.3R-candidate-suction,B,Mounted suction uses current GPU body pose and attracts only exterior mouth-strip grains, a1395fe,10397b6,2026-09-21T06:14:00Z,2026-09-21T06:23:41Z,10,ParallelStartupTests exterior acceleration and intact-hull exclusion,3,2,1,"One test run passed before strengthening an invalid rotated-fixture assumption; the corrected final run passed. One rebuild followed the final UI text change.","PASS: fast EditMode 136 passed / 1 explicit skip (137 total); Mac build succeeded. Opt-in player process launched but emitted no redirected Unity telemetry.",Player suction input plus damage/fuel/persistence/travel/default cutover and B.GATE remain,unavailable
B.3R-candidate-cargo-capacity,B,Compact GPU cargo facts distinguish admitted whole squares from capacity-rejected whole squares,887f83e,9a65317,2026-09-21T06:27:00Z,2026-09-21T06:29:53Z,3,ParallelStartupTests two separate whole squares with one admission slot,1,1,0,none,"PASS: fast EditMode 137 passed / 1 explicit skip (138 total); Mac build succeeded.",Damage/fuel/persistence/travel/default cutover and B.GATE remain,unavailable
B.3R-viability-plan,B,Detailed physics and throughput checkpoint plus new-context Terra prompt ready before damage/fuel integration,07b7a04,subject: docs: plan physics viability checkpoint for Terra,2026-09-23T04:31:55Z,2026-09-23T04:38:49Z,6.90,0,0,0,0,none,"PASS: diff and checklist review; 58 local Markdown links checked. Recorded interval starts at first UTC capture; preceding read-only inspection duration unavailable. No Unity launch.",Benchmark and solver investigation remain unexecuted; R1 and B.GATE open; candidate damage/fuel deferred,unavailable
B.3R-physics-viability,B,Opt-in 8192-grain benchmark exposes packed solid-penetration fault before warmup,e36c0f5,subject: feat: measure B3R physics viability,2026-09-23T04:42:26Z,2026-09-24T04:30:47Z,1428.35,"4 successful focused runs: initial fixture 1/1; identical-state trace 1/1; fixture rollback 2/2; added high-speed coverage 3/3. Three sandboxed Unity starts failed database access.","3 successful fast suites: 139 pass/1 skip; next and final 140 pass/1 skip",3 successful Mac builds,"4 launches: sandbox startup exit 134; pilot exit 2; corrected baseline exit 2; final exit 2","Second build/player followed observed 3024x1890 resolution and missing terrain field in pilot; later focused/full tests followed a missing dynamic high-speed counterpart without a rebuild; third suite/build/player followed a final review finding that unexpected Unity exceptions needed exit 3 and partial evidence.","FAIL physical acceptance: combined 4/2 and 8/4 commit 0 ticks; 12/6 commits 1. No 600-frame throughput window; all timing p95 unmeasured. Explicit buffers 83,751,624 B.","Packed .001 and interim .002 fail; long-run residual and GPU timing validity unmeasured; renderer uses sparse terrain equivalent; candidate damage/fuel paused. Wall interval includes a date boundary and is not active implementation time.",unavailable
B.3R-packed-overrelax-prototype,B,1.8 packed-position over-relaxation rejected after identical-state replay and 8192-grain matrix; benchmark rejects unmatched delayed GPU samples,79ff811,subject: docs: record B3R convergence prototype,2026-09-24T04:38:05Z,2026-09-24T04:46:10Z,8.08,First trace replay failed expected reference mismatch; corrected trace replay 1/1 passed,Prototype 138 pass/2 fail/1 skip; restored final 140 pass/1 skip,2 successful Mac builds,"2 player matrices, both physical exit 2","Second build/player required after rejecting prototype, restoring solver, and correcting GPU frame attribution; fast suite rerun checked restored contract.","FAIL physical acceptance: prototype combined commits 0/1/1 ticks for 4/2, 8/4, 12/6; final restored commits 0/0/1. No timing window.",Original .001 and interim .002 packed limits fail; prototype GPU cost and all p95 unmeasured; total GPU source-frame attribution remains unavailable.,unavailable
B.3R-coupled-sweep-prototype,B,Fourfold and eightfold whole-contact-graph position sweeps rejected; original solver restored and unchanged impact capture preserved,12cdcdb,subject: docs: record B3R coupled sweep decision,2026-09-24T04:53:31Z,2026-09-24T05:03:01Z,9.50,"Saved-state measurement 1/1 at each 4x and 8x count; eightfold grain fixture 8/8; one attempted multi-fixture filter selected zero tests","Restored final fast suite 140 pass/1 explicit skip",2 successful Mac builds,"Eightfold and restored player matrices each exited 2 on physical faults","4x saved-state result prompted deeper same-method count; zero-test focused filter was corrected; second build/player verified restored source after rejecting eightfold prototype.","FAIL physical acceptance: eightfold combined commits 1/2/3 ticks for 4/2 8/4 12/6; restored commits 0/0/1. No timing window.",Original .001 and interim .002 packed limits fail; prototype GPU cost and every p95 unmeasured; total GPU source-frame attribution unavailable; long-run residual and fragment participation unverified.,unavailable
B.3R-v2-design,B,Detailed coupled contact architecture and gated reference-to-GPU implementation plan; runtime unchanged,ceca0a992907497993bd2cb656df2f12e19521f4,subject: docs: specify coupled contact solver V2 architecture,2026-09-24T05:13:41Z,2026-09-25T00:30:34Z,1156.88,0 Unity; documentation derivative/stride arithmetic check only,0,0,0,none,PASS documentation: 125 local links/anchors; memory total 111 MiB; 2000 derivative interior checks max error 4.13e-10; checklist/diff/source review. Two old CSV rows had unquoted commas; quoting repaired without changing their recorded text. No simulation acceptance claimed.,V2 unimplemented; all legacy profiles still fail packed physics and all throughput p95 unmeasured. V2-0 reference decision next. Interval starts at first UTC capture and includes an interruption/date boundary; wall elapsed is not active engineering time.,unavailable
B.3R-claude-v2-0a-handoff,B,Bounded lower-tier Claude implementation plan and prompt for exact failing-state archives; solver unchanged,d2eb84c1917fc1ead21023d54aa9b1fd90738815,subject: docs: prepare bounded Claude replay implementation handoff,2026-09-25T00:34:54Z,2026-09-25T00:38:39Z,3.75,0,0,0,0,none,PASS documentation: 43 local links; diff/checklist/source review. V2-0 split into A/B/C without changing full acceptance. Interval starts at first UTC capture; initial reading time unavailable.,Implementation not begun; legacy physical failures and unmeasured throughput unchanged. V2-0A stops after nine-case replay decision; V2-0B geometry/reference follows. Existing diagnostic fixed export path must be repaired during implementation.,unavailable
B.3R.R1.V2-0A,B,Immutable exact pre-step archives and nine-case unchanged-legacy rejected-attempt replay with bitwise rollback,f0c73f7320e5ebad89a0011d9f1da49f7c6a451d,subject: feat: capture exact V2-0A legacy replay inputs,2026-09-25T00:42:19Z,2026-09-25T00:52:57Z,10.63,Archive codec 4/4 final; ordinary GPU replay 1/1; explicit matrix 1/1 with nine cases; diagnostic export path 1/1,0,0,0,Two compiler failures isolated a LooseCell namespace collision; one -quit run produced no XML and was corrected; final archive and matrix reran after exclusive reservation and provenance/report changes,PASS V2-0A: nine SolidPenetration faults reproduced; initial input and source/local rollback bitwise exact; old traces preserved,V2-0B independent geometry and V2-0C packed reference open; physics/performance and B.GATE unqualified,unavailable
